sample	sample_short	region	comuna	region_num	UTME	UTMS	Time.Zone	Latitude	Longitude	Age	Sex	Weight	Totallenght	Forearmlenght	Traguslenght	Traguswidth	Earlength	Earwidth	fifthfingerlenght	region_num_col	region_short	comunashort	replicate	hasreplicate	regioncol	missing	dnaconc	regioncol_corr	region_num_corr	region_corr
552A	552	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	H	10	80.4	36.9	6.2	1.7	10.8	5.6	45	cyan	Mag	Cam	1	TRUE	purple4	4142	1414	purple4	5	Cameron
552B	552	Magallanes	Cameron	5	519244	4001025	19F	-54.116965	-68.70559422	A	H	10	80.4	36.9	6.2	1.7	10.8	5.6	45	cyan	Mag	Cam	2	TRUE	purple4	4373	1414	purple4	5	Cameron
591A	591	Los Lagos	Puerto Montt	3	669092	5407426	18G	-41.450413	-72.97563916	A	M	NA	NA	37.7	NA	NA	NA	NA	NA	green	Lag	Mon	1	FALSE	darkolivegreen4	4370	2653	darkolivegreen4	3	Los Lagos
592A	592	Los Lagos	Puerto Varas	3	672384	5420657	18G	-41.330658	-72.94001505	A	M	NA	NA	36.6	NA	NA	NA	NA	NA	green	Lag	Var	1	FALSE	darkolivegreen4	9154	1478	darkolivegreen4	3	Los Lagos
679A	679	Biobio	San Fabian 	3	271758	5952019	19H	-36.535425	-71.549531			NA	NA	NA	NA	NA	NA	NA	NA	green	Bio	Fab	1	TRUE	chartreuse3	2571	1561	salmon	2	Maule
679B	679	Biobio	San Fabian 	3	271758	5952019	19H	-36.535425	-71.549531			NA	NA	NA	NA	NA	NA	NA	NA	green	Bio	Fab	2	TRUE	chartreuse3	3755	1561	salmon	2	Maule
689A	689	Metropolitana	San Miguel	2	346305	6291601	19H	-33.490726	-70.6544068	A		NA	NA	37	NA	NA	NA	NA	NA	red	Met	Mig	1	FALSE	red3	5136	4022	red3	2	Metropolitana
700A	700	Valparaiso	San Felipe	2	336951	6376205	19H	-32.726856	-70.73995691	A	M	NA	NA	36	NA	NA	NA	NA	NA	red	Val	Fel	1	FALSE	pink	5020	3430	pink	2	Valparaiso
702A	702	Araucanía	Villarrica	3	739843	5640907	18H	-39.332327	-72.21733907	A		NA	NA	36.8	NA	NA	NA	NA	NA	green	Ara	Vil	1	FALSE	lightgreen	3919	1881	lightgreen	3	Araucanía
727A	727	Aysén	Coyhaique	4	731872	4949806	18G	-45.54847	-72.02953319	A		NA	NA	40.1	NA	NA	NA	NA	NA	blue	Ays	Coy	1	TRUE	lightblue	7671	718	lightblue	4	Coyhaique
727B	727	Aysén	Coyhaique	4	731872	4949806	18G	-45.54847	-72.02953319	A		NA	NA	40.1	NA	NA	NA	NA	NA	blue	Ays	Coy	2	TRUE	lightblue	10038	718	lightblue	4	Coyhaique
734A	734	Los Lagos	Maullin	3	616740	5391808	18G	-41.600315	-73.59914542	A		NA	NA	37.6	NA	NA	NA	NA	NA	green	Lag	Mau	1	FALSE	darkolivegreen4	30282	1605	darkolivegreen4	3	Los Lagos
735A	735	Los Lagos	Maullin	3	616740	5391808	18G	-41.600315	-73.59914542	A	H	NA	NA	36.4	NA	NA	NA	NA	NA	green	Lag	Mau	1	TRUE	darkolivegreen4	6475	1738	darkolivegreen4	3	Los Lagos
735B	735	Los Lagos	Maullin	3	616740	5391808	18G	-41.600315	-73.59914542	A	H	NA	NA	36.4	NA	NA	NA	NA	NA	green	Lag	Mau	2	TRUE	darkolivegreen4	5290	1738	darkolivegreen4	3	Los Lagos
736A	736	Los Lagos	Maullin	3	616740	5391808	18G	-41.600315	-73.59914542	A	M	NA	NA	36.4	NA	NA	NA	NA	NA	green	Lag	Mau	1	FALSE	darkolivegreen4	5657	4299	darkolivegreen4	3	Los Lagos
737A	737	Los Lagos	Maullin	3	616740	5391808	18G	-41.600315	-73.59914542	A	M	NA	NA	38	NA	NA	NA	NA	NA	green	Lag	Mau	1	FALSE	darkolivegreen4	4850	2339	darkolivegreen4	3	Los Lagos
738A	738	Los Lagos	Maullin	3	616740	5391808	18G	-41.600315	-73.59914542	A		NA	NA	38	NA	NA	NA	NA	NA	green	Lag	Mau	1	TRUE	darkolivegreen4	24087	1044	darkolivegreen4	3	Los Lagos
738B	738	Los Lagos	Maullin	3	616740	5391808	18G	-41.600315	-73.59914542	A		NA	NA	38	NA	NA	NA	NA	NA	green	Lag	Mau	2	TRUE	darkolivegreen4	19619	1044	darkolivegreen4	3	Los Lagos
739A	739	Los Lagos	Maullin	3	616740	5391808	18G	-41.600315	-73.59914542	A		NA	NA	38.5	NA	NA	NA	NA	NA	green	Lag	Mau	1	FALSE	darkolivegreen4	14809	2090	darkolivegreen4	3	Los Lagos
775A	775	Los Rios	Valdivia	3	650841	5592379	18H	-39.789315	-73.23833125	A		NA	NA	37.9	NA	NA	NA	NA	NA	green	Rio	Val	1	FALSE	chartreuse1	8724	1326	lightgreen	3	Los Rios
961A	961	Biobio	San Ignacio	3	729777	5954208	18H	-36.533333	-72.43398946	A	M	NA	NA	36.6	NA	NA	NA	NA	NA	green	Bio	Ign	1	TRUE	chartreuse3	8024	2193	chartreuse3	3	Biobio
961B	961	Biobio	San Ignacio	3	729777	5954208	18H	-36.533333	-72.43398946	A	M	NA	NA	36.6	NA	NA	NA	NA	NA	green	Bio	Ign	2	TRUE	chartreuse3	6948	2193	chartreuse3	3	Biobio
